pId,Engagement,Valence,Arousal,docId,docNames,Class,Category
0,4.0,1,4,0,Cost of War,2,Angry
0,4.0,4,3,1,Stock Market,1,Happy
0,3.0,3,3,2,Electic Car Revolution,1,Happy
0,5.0,2,4,3,English Ghost Story,2,Angry
0,4.0,4,4,4,The Big Bang explained by Artifical Intelligence.,1,Happy
0,4.0,5,4,5,Blue Eyed Humans,1,Happy
0,4.0,4,3,6,Crispr Technology,1,Happy
0,5.0,5,4,7,A Rose by any other name,1,Happy
0,5.0,4,4,8,The Dark Knight Triology,1,Happy
0,5.0,3,5,9,For Elise - A Short Story,1,Happy
0,4.0,4,4,10,The Road less travelled,1,Happy
0,2.0,3,3,11,Tonight i can write the saddest lines,1,Happy
0,4.0,3,4,12,A dog has died,1,Happy
0,4.0,4,5,13,Do not go gentle into that Good night,1,Happy
1,4.0,3,4,0,Cost of War,1,Happy
1,3.0,2,1,1,Stock Market,3,Sad
1,5.0,3,4,2,Electic Car Revolution,1,Happy
1,4.0,5,4,3,English Ghost Story,1,Happy
1,5.0,2,3,4,The Big Bang explained by Artifical Intelligence.,2,Angry
1,5.0,3,4,5,Blue Eyed Humans,1,Happy
1,2.0,2,1,6,Crispr Technology,3,Sad
1,3.0,3,4,7,A Rose by any other name,1,Happy
1,4.0,4,3,8,The Dark Knight Triology,1,Happy
1,4.0,3,4,9,For Elise - A Short Story,1,Happy
1,3.0,4,3,10,The Road less travelled,1,Happy
1,2.0,1,1,11,Tonight i can write the saddest lines,3,Sad
1,4.0,4,5,12,A dog has died,1,Happy
1,2.0,1,2,13,Do not go gentle into that Good night,3,Sad
2,4.0,2,4,0,Cost of War,2,Angry
2,4.0,3,1,1,Stock Market,4,Relaxed
2,5.0,5,5,2,Electic Car Revolution,1,Happy
2,5.0,1,5,3,English Ghost Story,2,Angry
2,5.0,4,5,4,The Big Bang explained by Artifical Intelligence.,1,Happy
2,5.0,3,5,5,Blue Eyed Humans,1,Happy
2,3.0,5,5,6,Crispr Technology,1,Happy
2,5.0,3,5,7,A Rose by any other name,1,Happy
2,5.0,5,5,8,The Dark Knight Triology,1,Happy
2,1.0,3,1,9,For Elise - A Short Story,4,Relaxed
2,3.0,4,1,10,The Road less travelled,4,Relaxed
2,5.0,5,4,11,Tonight i can write the saddest lines,1,Happy
2,5.0,5,5,12,A dog has died,1,Happy
2,2.0,4,4,13,Do not go gentle into that Good night,1,Happy
3,4.0,3,4,0,Cost of War,1,Happy
3,4.0,4,4,1,Stock Market,1,Happy
3,5.0,5,4,2,Electic Car Revolution,1,Happy
3,5.0,5,5,3,English Ghost Story,1,Happy
3,5.0,5,5,4,The Big Bang explained by Artifical Intelligence.,1,Happy
3,5.0,5,5,5,Blue Eyed Humans,1,Happy
3,4.0,4,4,6,Crispr Technology,1,Happy
3,2.0,3,2,7,A Rose by any other name,4,Relaxed
3,4.0,3,4,8,The Dark Knight Triology,1,Happy
3,4.0,1,4,9,For Elise - A Short Story,2,Angry
3,5.0,5,5,10,The Road less travelled,1,Happy
3,2.0,5,5,11,Tonight i can write the saddest lines,1,Happy
3,5.0,1,5,12,A dog has died,2,Angry
3,1.0,3,1,13,Do not go gentle into that Good night,4,Relaxed
4,3.0,4,3,0,Cost of War,1,Happy
4,4.0,3,3,1,Stock Market,1,Happy
4,5.0,4,4,2,Electic Car Revolution,1,Happy
4,5.0,5,5,3,English Ghost Story,1,Happy
4,3.0,2,2,4,The Big Bang explained by Artifical Intelligence.,3,Sad
4,4.0,4,3,5,Blue Eyed Humans,1,Happy
4,1.0,1,1,6,Crispr Technology,3,Sad
4,2.0,2,2,7,A Rose by any other name,3,Sad
4,4.0,3,3,8,The Dark Knight Triology,1,Happy
4,3.0,3,3,9,For Elise - A Short Story,1,Happy
4,1.0,1,1,10,The Road less travelled,3,Sad
4,4.0,5,4,11,Tonight i can write the saddest lines,1,Happy
4,4.0,4,4,12,A dog has died,1,Happy
4,2.0,1,1,13,Do not go gentle into that Good night,3,Sad
5,4.0,3,4,0,Cost of War,1,Happy
5,4.0,4,4,1,Stock Market,1,Happy
5,5.0,5,4,2,Electic Car Revolution,1,Happy
5,5.0,5,5,3,English Ghost Story,1,Happy
5,5.0,5,5,4,The Big Bang explained by Artifical Intelligence.,1,Happy
5,5.0,5,5,5,Blue Eyed Humans,1,Happy
5,4.0,4,4,6,Crispr Technology,1,Happy
5,2.0,3,2,7,A Rose by any other name,4,Relaxed
5,4.0,3,4,8,The Dark Knight Triology,1,Happy
5,4.0,1,4,9,For Elise - A Short Story,2,Angry
5,5.0,5,5,10,The Road less travelled,1,Happy
5,2.0,5,5,11,Tonight i can write the saddest lines,1,Happy
5,5.0,1,5,12,A dog has died,2,Angry
5,1.0,3,1,13,Do not go gentle into that Good night,4,Relaxed
6,3.0,2,2,0,Cost of War,3,Sad
6,5.0,4,4,1,Stock Market,1,Happy
6,5.0,4,5,2,Electic Car Revolution,1,Happy
6,5.0,3,2,3,English Ghost Story,4,Relaxed
6,5.0,3,3,4,The Big Bang explained by Artifical Intelligence.,1,Happy
6,5.0,4,3,5,Blue Eyed Humans,1,Happy
6,2.0,1,2,6,Crispr Technology,3,Sad
6,3.0,3,2,7,A Rose by any other name,4,Relaxed
6,5.0,4,5,8,The Dark Knight Triology,1,Happy
6,5.0,4,4,9,For Elise - A Short Story,1,Happy
6,4.0,3,3,10,The Road less travelled,1,Happy
6,4.0,4,3,11,Tonight i can write the saddest lines,1,Happy
6,5.0,3,2,12,A dog has died,4,Relaxed
6,3.0,2,1,13,Do not go gentle into that Good night,3,Sad
7,4.0,2,2,0,Cost of War,3,Sad
7,4.0,3,3,1,Stock Market,1,Happy
7,4.0,2,2,2,Electic Car Revolution,3,Sad
7,4.0,4,3,3,English Ghost Story,1,Happy
7,4.0,3,3,4,The Big Bang explained by Artifical Intelligence.,1,Happy
7,4.0,3,3,5,Blue Eyed Humans,1,Happy
7,5.0,3,3,6,Crispr Technology,1,Happy
7,3.0,2,2,7,A Rose by any other name,3,Sad
7,5.0,3,3,8,The Dark Knight Triology,1,Happy
7,2.0,4,3,9,For Elise - A Short Story,1,Happy
7,2.0,2,2,10,The Road less travelled,3,Sad
7,2.0,2,2,11,Tonight i can write the saddest lines,3,Sad
7,2.0,3,3,12,A dog has died,1,Happy
7,1.0,2,2,13,Do not go gentle into that Good night,3,Sad
8,2.0,3,3,0,Cost of War,1,Happy
8,5.0,5,5,1,Stock Market,1,Happy
8,4.0,4,5,2,Electic Car Revolution,1,Happy
8,5.0,5,5,3,English Ghost Story,1,Happy
8,5.0,4,4,4,The Big Bang explained by Artifical Intelligence.,1,Happy
8,4.0,4,5,5,Blue Eyed Humans,1,Happy
8,4.0,3,4,6,Crispr Technology,1,Happy
8,3.0,4,5,7,A Rose by any other name,1,Happy
8,5.0,5,5,8,The Dark Knight Triology,1,Happy
8,3.0,2,3,9,For Elise - A Short Story,2,Angry
8,5.0,5,4,10,The Road less travelled,1,Happy
8,3.0,4,2,11,Tonight i can write the saddest lines,4,Relaxed
8,4.0,3,2,12,A dog has died,4,Relaxed
8,3.0,4,2,13,Do not go gentle into that Good night,4,Relaxed
9,3.0,2,2,0,Cost of War,3,Sad
9,4.0,4,2,1,Stock Market,4,Relaxed
9,4.0,2,2,2,Electic Car Revolution,3,Sad
9,5.0,1,4,3,English Ghost Story,2,Angry
9,3.0,3,1,4,The Big Bang explained by Artifical Intelligence.,4,Relaxed
9,4.0,3,3,5,Blue Eyed Humans,1,Happy
9,1.0,2,1,6,Crispr Technology,3,Sad
9,3.0,2,1,7,A Rose by any other name,3,Sad
9,4.0,3,3,8,The Dark Knight Triology,1,Happy
9,2.0,3,1,9,For Elise - A Short Story,4,Relaxed
9,4.0,3,1,10,The Road less travelled,4,Relaxed
9,4.0,4,2,11,Tonight i can write the saddest lines,4,Relaxed
9,5.0,1,5,12,A dog has died,2,Angry
9,4.0,2,4,13,Do not go gentle into that Good night,2,Angry
10,3.0,2,1,0,Cost of War,3,Sad
10,5.0,4,4,1,Stock Market,1,Happy
10,5.0,3,5,2,Electic Car Revolution,1,Happy
10,5.0,2,5,3,English Ghost Story,2,Angry
10,3.0,1,1,4,The Big Bang explained by Artifical Intelligence.,3,Sad
10,5.0,5,5,5,Blue Eyed Humans,1,Happy
10,4.0,3,4,6,Crispr Technology,1,Happy
10,4.0,4,4,7,A Rose by any other name,1,Happy
10,2.0,1,4,8,The Dark Knight Triology,2,Angry
10,5.0,1,4,9,For Elise - A Short Story,2,Angry
10,2.0,3,1,10,The Road less travelled,4,Relaxed
10,5.0,4,4,11,Tonight i can write the saddest lines,1,Happy
10,5.0,2,5,12,A dog has died,2,Angry
10,2.0,1,2,13,Do not go gentle into that Good night,3,Sad
11,3.0,1,2,0,Cost of War,3,Sad
11,4.0,4,4,1,Stock Market,1,Happy
11,3.0,3,3,2,Electic Car Revolution,1,Happy
11,4.0,2,3,3,English Ghost Story,2,Angry
11,4.0,4,4,4,The Big Bang explained by Artifical Intelligence.,1,Happy
11,4.0,5,3,5,Blue Eyed Humans,1,Happy
11,5.0,5,5,6,Crispr Technology,1,Happy
11,4.0,3,3,7,A Rose by any other name,1,Happy
11,5.0,5,5,8,The Dark Knight Triology,1,Happy
11,3.0,1,4,9,For Elise - A Short Story,2,Angry
11,3.0,3,3,10,The Road less travelled,1,Happy
11,3.0,4,3,11,Tonight i can write the saddest lines,1,Happy
11,5.0,2,5,12,A dog has died,2,Angry
11,3.0,3,4,13,Do not go gentle into that Good night,1,Happy
12,4.0,4,3,0,Cost of War,1,Happy
12,3.0,3,2,1,Stock Market,4,Relaxed
12,5.0,5,4,2,Electic Car Revolution,1,Happy
12,5.0,5,5,3,English Ghost Story,1,Happy
12,4.0,3,2,4,The Big Bang explained by Artifical Intelligence.,4,Relaxed
12,4.0,3,2,5,Blue Eyed Humans,4,Relaxed
12,3.0,1,1,6,Crispr Technology,3,Sad
12,4.0,3,3,7,A Rose by any other name,1,Happy
12,4.0,3,3,8,The Dark Knight Triology,1,Happy
12,5.0,4,4,9,For Elise - A Short Story,1,Happy
12,3.0,2,2,10,The Road less travelled,3,Sad
12,5.0,5,5,11,Tonight i can write the saddest lines,1,Happy
12,5.0,4,4,12,A dog has died,1,Happy
12,3.0,2,2,13,Do not go gentle into that Good night,3,Sad
13,4.0,2,3,0,Cost of War,2,Angry
13,4.0,3,3,1,Stock Market,1,Happy
13,4.0,4,4,2,Electic Car Revolution,1,Happy
13,5.0,5,4,3,English Ghost Story,1,Happy
13,3.0,2,2,4,The Big Bang explained by Artifical Intelligence.,3,Sad
13,5.0,4,5,5,Blue Eyed Humans,1,Happy
13,2.0,4,3,6,Crispr Technology,1,Happy
13,4.0,4,2,7,A Rose by any other name,4,Relaxed
13,5.0,5,5,8,The Dark Knight Triology,1,Happy
13,5.0,5,5,9,For Elise - A Short Story,1,Happy
13,3.0,3,4,10,The Road less travelled,1,Happy
13,4.0,3,2,11,Tonight i can write the saddest lines,4,Relaxed
13,4.0,4,3,12,A dog has died,1,Happy
13,5.0,4,4,13,Do not go gentle into that Good night,1,Happy
15,3.0,2,2,0,Cost of War,3,Sad
15,4.0,3,1,1,Stock Market,4,Relaxed
15,3.0,3,2,2,Electic Car Revolution,4,Relaxed
15,4.0,4,4,3,English Ghost Story,1,Happy
15,5.0,4,3,4,The Big Bang explained by Artifical Intelligence.,1,Happy
15,4.0,3,4,5,Blue Eyed Humans,1,Happy
15,4.0,3,3,6,Crispr Technology,1,Happy
15,4.0,1,4,7,A Rose by any other name,2,Angry
15,4.0,4,4,8,The Dark Knight Triology,1,Happy
15,5.0,1,4,9,For Elise - A Short Story,2,Angry
15,3.0,3,2,10,The Road less travelled,4,Relaxed
15,3.0,3,3,11,Tonight i can write the saddest lines,1,Happy
15,4.0,1,5,12,A dog has died,2,Angry
15,4.0,2,4,13,Do not go gentle into that Good night,2,Angry
16,5.0,4,5,0,Cost of War,1,Happy
16,5.0,5,4,1,Stock Market,1,Happy
16,4.0,5,4,2,Electic Car Revolution,1,Happy
16,5.0,5,5,3,English Ghost Story,1,Happy
16,4.0,3,4,4,The Big Bang explained by Artifical Intelligence.,1,Happy
16,5.0,4,4,5,Blue Eyed Humans,1,Happy
16,5.0,5,5,6,Crispr Technology,1,Happy
16,3.0,4,4,7,A Rose by any other name,1,Happy
16,5.0,5,5,8,The Dark Knight Triology,1,Happy
16,5.0,5,5,9,For Elise - A Short Story,1,Happy
16,4.0,4,5,10,The Road less travelled,1,Happy
16,5.0,5,5,11,Tonight i can write the saddest lines,1,Happy
16,5.0,5,5,12,A dog has died,1,Happy
16,4.0,4,5,13,Do not go gentle into that Good night,1,Happy
18,4.0,2,5,0,Cost of War,2,Angry
18,5.0,5,4,1,Stock Market,1,Happy
18,2.0,4,2,2,Electic Car Revolution,4,Relaxed
18,5.0,4,5,3,English Ghost Story,1,Happy
18,5.0,5,3,4,The Big Bang explained by Artifical Intelligence.,1,Happy
18,5.0,5,5,5,Blue Eyed Humans,1,Happy
18,4.0,4,2,6,Crispr Technology,4,Relaxed
18,4.0,4,3,7,A Rose by any other name,1,Happy
18,5.0,5,5,8,The Dark Knight Triology,1,Happy
18,5.0,4,4,9,For Elise - A Short Story,1,Happy
18,3.0,2,2,10,The Road less travelled,3,Sad
18,2.0,4,2,11,Tonight i can write the saddest lines,4,Relaxed
18,4.0,4,4,12,A dog has died,1,Happy
18,2.0,4,2,13,Do not go gentle into that Good night,4,Relaxed
19,4.0,3,3,0,Cost of War,1,Happy
19,3.0,2,2,1,Stock Market,3,Sad
19,4.0,4,4,2,Electic Car Revolution,1,Happy
19,5.0,5,4,3,English Ghost Story,1,Happy
19,3.0,3,3,4,The Big Bang explained by Artifical Intelligence.,1,Happy
19,4.0,3,3,5,Blue Eyed Humans,1,Happy
19,5.0,5,5,6,Crispr Technology,1,Happy
19,3.0,2,2,7,A Rose by any other name,3,Sad
19,4.0,5,5,8,The Dark Knight Triology,1,Happy
19,1.0,2,2,9,For Elise - A Short Story,3,Sad
19,1.0,1,1,10,The Road less travelled,3,Sad
19,3.0,4,4,11,Tonight i can write the saddest lines,1,Happy
19,3.0,2,2,12,A dog has died,3,Sad
19,2.0,2,2,13,Do not go gentle into that Good night,3,Sad
